<TICKER>,<PER>,Date,<TIME>,Price
GDAX.BTC-USD,D,20/09/18,000000,6493.1100000
GDAX.BTC-USD,D,21/09/18,000000,6750.0000000
GDAX.BTC-USD,D,22/09/18,000000,6707.3300000
GDAX.BTC-USD,D,23/09/18,000000,6696.9900000
GDAX.BTC-USD,D,24/09/18,000000,6582.0900000
GDAX.BTC-USD,D,25/09/18,000000,6436.8900000
GDAX.BTC-USD,D,26/09/18,000000,6455.6600000
GDAX.BTC-USD,D,27/09/18,000000,6680.0100000
GDAX.BTC-USD,D,28/09/18,000000,6620.0100000
GDAX.BTC-USD,D,29/09/18,000000,6581.0000000
GDAX.BTC-USD,D,30/09/18,000000,6605.0000000
GDAX.BTC-USD,D,01/10/18,000000,6572.8300000
GDAX.BTC-USD,D,02/10/18,000000,6498.4600000
GDAX.BTC-USD,D,03/10/18,000000,6466.0300000
GDAX.BTC-USD,D,04/10/18,000000,6547.4500000
GDAX.BTC-USD,D,05/10/18,000000,6593.9400000
GDAX.BTC-USD,D,06/10/18,000000,6552.4300000
GDAX.BTC-USD,D,07/10/18,000000,6570.0000000
GDAX.BTC-USD,D,08/10/18,000000,6608.0700000
GDAX.BTC-USD,D,09/10/18,000000,6589.4800000
GDAX.BTC-USD,D,10/10/18,000000,6524.5600000
GDAX.BTC-USD,D,11/10/18,000000,6154.6900000
GDAX.BTC-USD,D,12/10/18,000000,6188.0100000
GDAX.BTC-USD,D,13/10/18,000000,6196.0000000
GDAX.BTC-USD,D,14/10/18,000000,6183.4900000
GDAX.BTC-USD,D,15/10/18,000000,6440.4200000
GDAX.BTC-USD,D,16/10/18,000000,6457.1100000
GDAX.BTC-USD,D,17/10/18,000000,6443.7000000
GDAX.BTC-USD,D,18/10/18,000000,6394.9600000
GDAX.BTC-USD,D,19/10/18,000000,6382.9900000
GDAX.BTC-USD,D,20/10/18,000000,6414.0000000
GDAX.BTC-USD,D,21/10/18,000000,6415.8800000
GDAX.BTC-USD,D,22/10/18,000000,6407.6500000
GDAX.BTC-USD,D,23/10/18,000000,6395.1400000
GDAX.BTC-USD,D,24/10/18,000000,6415.9800000
GDAX.BTC-USD,D,25/10/18,000000,6395.5800000
GDAX.BTC-USD,D,26/10/18,000000,6404.8700000
GDAX.BTC-USD,D,27/10/18,000000,6409.1200000
GDAX.BTC-USD,D,28/10/18,000000,6403.6200000
GDAX.BTC-USD,D,29/10/18,000000,6266.0000000
GDAX.BTC-USD,D,30/10/18,000000,6267.6300000
GDAX.BTC-USD,D,31/10/18,000000,6304.1800000
GDAX.BTC-USD,D,01/11/18,000000,6344.0000000
GDAX.BTC-USD,D,02/11/18,000000,6349.8000000
GDAX.BTC-USD,D,03/11/18,000000,6331.9600000
GDAX.BTC-USD,D,04/11/18,000000,6423.2800000
GDAX.BTC-USD,D,05/11/18,000000,6404.0000000
GDAX.BTC-USD,D,06/11/18,000000,6448.5000000
GDAX.BTC-USD,D,07/11/18,000000,6503.1200000
GDAX.BTC-USD,D,08/11/18,000000,6406.2400000
GDAX.BTC-USD,D,09/11/18,000000,6334.8900000
GDAX.BTC-USD,D,10/11/18,000000,6347.4200000
GDAX.BTC-USD,D,11/11/18,000000,6357.6000000
GDAX.BTC-USD,D,12/11/18,000000,6327.8700000
GDAX.BTC-USD,D,13/11/18,000000,6259.3400000
GDAX.BTC-USD,D,14/11/18,000000,5605.4600000
GDAX.BTC-USD,D,15/11/18,000000,5579.5200000
GDAX.BTC-USD,D,16/11/18,000000,5512.2400000
GDAX.BTC-USD,D,17/11/18,000000,5504.1700000
GDAX.BTC-USD,D,18/11/18,000000,5560.0000000
GDAX.BTC-USD,D,19/11/18,000000,4733.5000000
GDAX.BTC-USD,D,20/11/18,000000,4349.2300000
GDAX.BTC-USD,D,21/11/18,000000,4545.1100000
GDAX.BTC-USD,D,22/11/18,000000,4265.3600000
GDAX.BTC-USD,D,23/11/18,000000,4283.8000000
GDAX.BTC-USD,D,24/11/18,000000,3774.9900000
GDAX.BTC-USD,D,25/11/18,000000,3936.6900000
GDAX.BTC-USD,D,26/11/18,000000,3731.3200000
GDAX.BTC-USD,D,27/11/18,000000,3775.0000000
GDAX.BTC-USD,D,28/11/18,000000,4225.0300000
GDAX.BTC-USD,D,29/11/18,000000,4248.0000000
GDAX.BTC-USD,D,30/11/18,000000,3976.0000000
GDAX.BTC-USD,D,01/12/18,000000,4142.0100000
GDAX.BTC-USD,D,02/12/18,000000,4103.1900000
GDAX.BTC-USD,D,03/12/18,000000,3833.4700000
GDAX.BTC-USD,D,04/12/18,000000,3901.8400000
GDAX.BTC-USD,D,05/12/18,000000,3694.3900000
GDAX.BTC-USD,D,06/12/18,000000,3433.2600000
GDAX.BTC-USD,D,07/12/18,000000,3380.0100000
GDAX.BTC-USD,D,08/12/18,000000,3401.0000000
GDAX.BTC-USD,D,09/12/18,000000,3531.1800000
GDAX.BTC-USD,D,10/12/18,000000,3410.1500000
GDAX.BTC-USD,D,11/12/18,000000,3349.3600000
GDAX.BTC-USD,D,12/12/18,000000,3430.2400000
GDAX.BTC-USD,D,13/12/18,000000,3265.0000000
GDAX.BTC-USD,D,14/12/18,000000,3195.7100000
GDAX.BTC-USD,D,15/12/18,000000,3183.0000000
GDAX.BTC-USD,D,16/12/18,000000,3195.0000000
GDAX.BTC-USD,D,17/12/18,000000,3496.8200000
GDAX.BTC-USD,D,18/12/18,000000,3667.7700000
GDAX.BTC-USD,D,19/12/18,000000,3715.2100000
GDAX.BTC-USD,D,20/12/18,000000,4075.3400000
GDAX.BTC-USD,D,21/12/18,000000,3839.0600000
GDAX.BTC-USD,D,22/12/18,000000,3980.4600000
GDAX.BTC-USD,D,23/12/18,000000,3944.9300000
GDAX.BTC-USD,D,24/12/18,000000,4034.0000000
GDAX.BTC-USD,D,25/12/18,000000,3780.0000000
GDAX.BTC-USD,D,26/12/18,000000,3809.8800000
GDAX.BTC-USD,D,27/12/18,000000,3589.8900000
GDAX.BTC-USD,D,28/12/18,000000,3888.0600000
GDAX.BTC-USD,D,29/12/18,000000,3729.3100000
GDAX.BTC-USD,D,30/12/18,000000,3829.0000000
GDAX.BTC-USD,D,31/12/18,000000,3691.8600000
GDAX.BTC-USD,D,01/01/19,000000,3826.1000000
GDAX.BTC-USD,D,02/01/19,000000,3890.7900000
GDAX.BTC-USD,D,03/01/19,000000,3787.5700000
GDAX.BTC-USD,D,04/01/19,000000,3820.8200000
GDAX.BTC-USD,D,05/01/19,000000,3798.6200000
GDAX.BTC-USD,D,06/01/19,000000,4040.9900000
GDAX.BTC-USD,D,07/01/19,000000,4006.0100000
GDAX.BTC-USD,D,08/01/19,000000,3993.8600000
GDAX.BTC-USD,D,09/01/19,000000,4004.1200000
GDAX.BTC-USD,D,10/01/19,000000,3626.1200000
GDAX.BTC-USD,D,11/01/19,000000,3635.6900000
GDAX.BTC-USD,D,12/01/19,000000,3619.4100000
GDAX.BTC-USD,D,13/01/19,000000,3514.2400000
GDAX.BTC-USD,D,14/01/19,000000,3664.1900000
GDAX.BTC-USD,D,15/01/19,000000,3580.7600000
GDAX.BTC-USD,D,16/01/19,000000,3609.7100000
GDAX.BTC-USD,D,17/01/19,000000,3640.6500000
GDAX.BTC-USD,D,18/01/19,000000,3607.8500000
GDAX.BTC-USD,D,19/01/19,000000,3682.6500000
GDAX.BTC-USD,D,20/01/19,000000,3536.1900000
GDAX.BTC-USD,D,21/01/19,000000,3531.7600000
GDAX.BTC-USD,D,22/01/19,000000,3577.0300000
GDAX.BTC-USD,D,23/01/19,000000,3553.0100000
GDAX.BTC-USD,D,24/01/19,000000,3568.9700000
GDAX.BTC-USD,D,25/01/19,000000,3562.1700000
GDAX.BTC-USD,D,26/01/19,000000,3556.0700000
GDAX.BTC-USD,D,27/01/19,000000,3531.0200000
GDAX.BTC-USD,D,28/01/19,000000,3429.9500000
GDAX.BTC-USD,D,29/01/19,000000,3397.4200000
GDAX.BTC-USD,D,30/01/19,000000,3437.5500000
GDAX.BTC-USD,D,31/01/19,000000,3411.5000000
GDAX.BTC-USD,D,01/02/19,000000,3437.5000000
GDAX.BTC-USD,D,02/02/19,000000,3468.4300000
GDAX.BTC-USD,D,03/02/19,000000,3414.7800000
GDAX.BTC-USD,D,04/02/19,000000,3409.5700000
GDAX.BTC-USD,D,05/02/19,000000,3428.4000000
GDAX.BTC-USD,D,06/02/19,000000,3367.3600000
GDAX.BTC-USD,D,07/02/19,000000,3359.0000000
GDAX.BTC-USD,D,08/02/19,000000,3621.9900000
GDAX.BTC-USD,D,09/02/19,000000,3623.7300000
GDAX.BTC-USD,D,10/02/19,000000,3648.8400000
GDAX.BTC-USD,D,11/02/19,000000,3590.3600000
GDAX.BTC-USD,D,12/02/19,000000,3588.0600000
GDAX.BTC-USD,D,13/02/19,000000,3576.6800000
GDAX.BTC-USD,D,14/02/19,000000,3561.5000000
GDAX.BTC-USD,D,15/02/19,000000,3566.5900000
GDAX.BTC-USD,D,16/02/19,000000,3582.3700000
GDAX.BTC-USD,D,17/02/19,000000,3625.0800000
GDAX.BTC-USD,D,18/02/19,000000,3867.0000000
GDAX.BTC-USD,D,19/02/19,000000,3888.0100000
GDAX.BTC-USD,D,20/02/19,000000,3938.9900000
GDAX.BTC-USD,D,21/02/19,000000,3897.7100000
GDAX.BTC-USD,D,22/02/19,000000,3942.0200000
GDAX.BTC-USD,D,23/02/19,000000,4110.0000000
GDAX.BTC-USD,D,24/02/19,000000,3734.2200000
GDAX.BTC-USD,D,25/02/19,000000,3818.7900000
GDAX.BTC-USD,D,26/02/19,000000,3799.4800000
GDAX.BTC-USD,D,27/02/19,000000,3799.9100000
GDAX.BTC-USD,D,28/02/19,000000,3792.1400000
GDAX.BTC-USD,D,01/03/19,000000,3806.1700000
GDAX.BTC-USD,D,02/03/19,000000,3809.7000000
GDAX.BTC-USD,D,03/03/19,000000,3786.9300000
GDAX.BTC-USD,D,04/03/19,000000,3700.7200000
GDAX.BTC-USD,D,05/03/19,000000,3844.5900000
GDAX.BTC-USD,D,06/03/19,000000,3851.8900000
GDAX.BTC-USD,D,07/03/19,000000,3857.0500000
GDAX.BTC-USD,D,08/03/19,000000,3843.1200000
GDAX.BTC-USD,D,09/03/19,000000,3917.0000000
GDAX.BTC-USD,D,10/03/19,000000,3900.9200000
GDAX.BTC-USD,D,11/03/19,000000,3849.6800000
GDAX.BTC-USD,D,12/03/19,000000,3860.0000000
GDAX.BTC-USD,D,13/03/19,000000,3851.0200000
GDAX.BTC-USD,D,14/03/19,000000,3853.9500000
GDAX.BTC-USD,D,15/03/19,000000,3902.8000000
