Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
25.09.2019;226,50000;228,09000;228,30000;225,30000;37974670
24.09.2019;230,00000;227,50000;231,99000;227,11000;43410340
23.09.2019;231,70000;229,70000;232,17000;229,05000;28199640
20.09.2019;235,00000;232,00000;235,50000;230,72000;40638980
19.09.2019;234,86000;234,98000;235,49000;233,12000;39447820
18.09.2019;235,80000;235,30000;236,45000;234,45000;25599810
17.09.2019;235,22000;235,89000;237,20000;233,99000;55770430
16.09.2019;235,00000;235,32000;235,53000;233,20000;39568910
13.09.2019;234,12000;233,00000;235,00000;231,91000;23109620
12.09.2019;234,90000;234,57000;235,42000;232,81000;38978190
11.09.2019;233,49000;234,72000;235,90000;232,62000;41927500
10.09.2019;228,50000;233,30000;235,23000;227,10000;60396660
09.09.2019;229,88000;229,00000;230,87000;227,61000;22795060
06.09.2019;231,00000;229,02000;231,20000;228,36000;37942350
05.09.2019;229,50000;230,79000;230,93000;228,36000;54900790
04.09.2019;225,30000;227,10000;227,50000;224,69000;41663520
03.09.2019;225,95000;224,00000;226,25000;222,05000;44560910
02.09.2019;224,10000;226,68000;227,84000;223,41000;38941480
30.08.2019;221,94000;224,20000;225,20000;221,21000;58186220
29.08.2019;218,49000;221,50000;221,50000;218,05000;35897160
28.08.2019;218,07000;218,30000;219,08000;217,18000;30298300
27.08.2019;218,95000;217,89000;219,05000;215,61000;51340690
26.08.2019;217,50000;218,50000;219,64000;216,53000;35264670
23.08.2019;220,20000;219,50000;223,10000;217,86000;54778400
22.08.2019;218,21000;219,50000;220,40000;217,35000;45760130
21.08.2019;216,97000;218,62000;219,50000;215,80000;42949600
20.08.2019;217,75000;216,00000;219,23000;215,53000;37017510
19.08.2019;;217,40000;;214,06000;37788830
16.08.2019;215,90000;215,05000;216,75000;213,91000;38449500
15.08.2019;218,50000;214,59000;218,94000;212,88000;68320490
14.08.2019;224,10000;217,11000;224,25000;216,60000;52025460
13.08.2019;221,31000;223,18000;225,75000;220,07000;46729240
12.08.2019;222,38000;222,30000;222,99000;219,74000;28795640
09.08.2019;224,05000;220,67000;224,36000;220,67000;31503650
08.08.2019;224,60000;223,93000;225,90000;223,18000;31264340
07.08.2019;225,85000;222,25000;227,60000;221,90000;49612760
06.08.2019;222,82000;226,01000;226,88000;222,30000;48804210
05.08.2019;219,72000;222,24000;224,00000;219,45000;49233230
02.08.2019;224,91000;220,81000;226,88000;220,30000;94676140
01.08.2019;232,15000;229,50000;232,46000;228,50000;56165810
31.07.2019;237,50000;233,49000;237,55000;233,11000;50848520
30.07.2019;233,03000;236,00000;236,00000;231,13000;34843870
29.07.2019;230,75000;232,80000;233,74000;230,18000;18373570
26.07.2019;232,40000;230,55000;233,99000;230,25000;25918140
25.07.2019;230,00000;232,90000;234,65000;229,02000;33078390
24.07.2019;233,70000;230,65000;234,00000;229,90000;27365890
23.07.2019;230,50000;232,48000;232,83000;228,52000;36363560
22.07.2019;233,00000;230,35000;233,98000;228,57000;37949300
19.07.2019;236,34000;232,85000;237,93000;232,32000;34706170
18.07.2019;234,00000;234,78000;236,40000;233,50000;23057060
17.07.2019;234,32000;234,63000;238,04000;233,50000;33529510
16.07.2019;234,68000;234,75000;235,30000;232,25000;36223090
15.07.2019;237,90000;235,27000;238,59000;234,23000;45070430
12.07.2019;241,29000;237,02000;241,50000;236,37000;47691520
11.07.2019;244,50000;241,30000;244,97000;240,17000;33165890
10.07.2019;243,10000;243,76000;245,50000;242,01000;41599760
09.07.2019;243,00000;242,74000;243,70000;241,87000;26380230
08.07.2019;242,13000;243,30000;243,30000;240,68000;28620550
